activity_id,rep_id,doctor_id,product_id,meeting_date,calls,visits,samples_distributed,meeting_type,engagement_score
C00001,R060,D0804,P001,2024-01-27,2,1,0,In-person,0.81
C00002,R061,D0030,P006,2024-01-26,4,1,1,In-person,0.977
C00003,R071,D0055,P003,2024-01-24,1,2,4,In-person,1.019
C00004,R040,D0674,P007,2024-01-07,3,2,2,In-person,0.898
C00005,R016,D0331,P002,2024-01-17,4,1,6,In-person,1.031
C00006,R044,D0099,P008,2024-01-22,4,2,0,In-person,1.068
C00007,R007,D0543,P006,2024-01-14,2,1,4,In-person,0.909
C00008,R046,D0102,P002,2024-01-06,1,1,4,In-person,0.73
C00009,R009,D0061,P005,2024-01-26,2,1,6,Clinic Camp,0.839
C00010,R053,D0382,P008,2024-01-30,3,1,5,Clinic Camp,0.903
C00011,R010,D0409,P001,2024-01-06,4,2,6,Virtual,1.254
C00012,R020,D0546,P007,2024-01-22,1,2,5,In-person,0.812
C00013,R035,D0530,P004,2024-01-28,2,2,1,In-person,0.862
C00014,R042,D0020,P008,2024-01-17,3,1,2,In-person,0.948
C00015,R042,D0229,P002,2024-01-02,3,2,4,In-person,0.925
C00016,R049,D0294,P006,2024-01-22,2,2,6,In-person,0.999
C00017,R061,D0209,P008,2024-01-29,4,2,6,Clinic Camp,0.966
C00018,R026,D0479,P003,2024-01-09,4,1,4,Clinic Camp,1.007
C00019,R062,D0190,P001,2024-01-05,2,1,0,Virtual,0.784
C00020,R030,D0591,P004,2024-01-08,3,1,2,In-person,0.899
C00021,R069,D0801,P005,2024-01-26,2,1,4,In-person,0.782
C00022,R044,D0636,P006,2024-01-18,3,1,5,Clinic Camp,0.958
C00023,R011,D0390,P004,2024-01-01,2,1,1,In-person,0.795
C00024,R004,D0313,P008,2024-01-19,2,2,3,In-person,1.028
C00025,R011,D0530,P005,2024-01-26,2,1,5,In-person,0.921
C00026,R069,D0548,P006,2024-01-06,1,2,5,In-person,0.774
C00027,R025,D0259,P008,2024-01-19,3,1,1,In-person,0.801
C00028,R034,D0038,P008,2024-01-08,4,2,1,In-person,0.979
C00029,R059,D0593,P003,2024-01-01,2,1,2,Virtual,0.83
C00030,R040,D0535,P003,2024-01-13,4,2,4,In-person,1.068
C00031,R067,D0041,P006,2024-01-25,2,2,4,In-person,0.928
C00032,R066,D0437,P005,2024-01-21,1,1,5,In-person,1.025
C00033,R068,D0099,P004,2024-01-04,2,1,3,In-person,0.793
C00034,R025,D0609,P006,2024-01-06,2,1,6,In-person,0.999
C00035,R050,D0689,P006,2024-01-17,1,2,0,In-person,0.788
C00036,R032,D0106,P008,2024-01-10,2,1,3,In-person,0.66
C00037,R071,D0578,P003,2024-01-11,1,2,1,In-person,0.833
C00038,R037,D0070,P007,2024-01-14,4,2,3,In-person,1.154
C00039,R060,D0164,P002,2024-01-24,3,2,6,Virtual,1.099
C00040,R003,D0619,P008,2024-01-18,2,1,6,Clinic Camp,0.908
C00041,R017,D0425,P001,2024-01-27,1,2,6,Clinic Camp,0.91
C00042,R057,D0841,P007,2024-01-04,3,1,3,Clinic Camp,0.864
C00043,R057,D0840,P001,2024-01-15,3,2,4,In-person,1.084
C00044,R068,D0847,P008,2024-01-18,2,1,3,In-person,0.799
C00045,R057,D0121,P008,2024-01-24,4,1,0,Clinic Camp,0.869
C00046,R031,D0202,P007,2024-01-16,1,1,1,Clinic Camp,0.761
C00047,R014,D0115,P007,2024-01-29,4,2,5,Virtual,1.076
C00048,R051,D0565,P004,2024-01-26,2,1,0,In-person,0.882
C00049,R049,D0388,P002,2024-01-22,2,1,4,In-person,0.889
C00050,R038,D0602,P008,2024-01-13,2,1,3,In-person,0.772
C00051,R047,D0260,P005,2024-01-10,2,1,2,In-person,0.724
C00052,R018,D0135,P007,2024-01-17,1,2,5,In-person,0.844
C00053,R048,D0520,P006,2024-01-15,3,2,1,Virtual,1.145
C00054,R005,D0598,P006,2024-01-01,2,1,1,Clinic Camp,0.779
C00055,R026,D0664,P003,2024-01-08,3,2,1,In-person,1.019
C00056,R026,D0261,P004,2024-01-26,3,2,0,Clinic Camp,0.836
C00057,R027,D0527,P004,2024-01-15,4,1,0,In-person,0.833
C00058,R056,D0784,P005,2024-01-30,1,2,0,In-person,0.785
C00059,R053,D0598,P006,2024-01-08,2,2,4,In-person,1.078
C00060,R061,D0782,P002,2024-01-31,3,2,2,In-person,0.873
C00061,R050,D0333,P002,2024-01-26,1,2,2,In-person,0.786
C00062,R029,D0013,P001,2024-01-12,3,1,5,In-person,1.012
C00063,R045,D0558,P005,2024-01-19,2,1,3,Virtual,0.961
C00064,R036,D0370,P006,2024-01-31,4,2,0,In-person,1.045
C00065,R052,D0027,P002,2024-01-20,4,1,3,Clinic Camp,1.028
C00066,R020,D0273,P006,2024-01-29,4,1,4,In-person,0.92
C00067,R025,D0263,P001,2024-01-04,3,1,4,In-person,0.816
C00068,R032,D0212,P007,2024-01-06,3,2,6,Clinic Camp,0.956
C00069,R028,D0557,P006,2024-01-01,4,2,4,In-person,1.012
C00070,R036,D0539,P006,2024-01-11,4,1,5,In-person,1.028
C00071,R072,D0289,P006,2024-01-25,3,2,3,Clinic Camp,0.896
C00072,R019,D0041,P003,2024-01-30,4,1,4,In-person,1.012
C00073,R012,D0118,P008,2024-01-17,4,1,1,In-person,0.913
C00074,R042,D0750,P006,2024-01-14,1,2,6,In-person,0.863
C00075,R002,D0303,P002,2024-01-29,3,2,0,In-person,1.011
C00076,R025,D0089,P008,2024-01-19,2,1,6,In-person,0.811
C00077,R020,D0646,P006,2024-01-17,4,2,4,In-person,1.197
C00078,R040,D0730,P003,2024-01-03,3,2,2,Clinic Camp,1.042
C00079,R066,D0074,P008,2024-01-07,4,1,2,In-person,0.877
C00080,R029,D0828,P002,2024-01-22,2,1,0,In-person,0.876
