incentive_id,rep_id,month,target_revenue,actual_revenue,achievement_pct,bonus,performance_band
I00001,R001,2024-01-01,135109.78,53794.45,39.82,0.0,Below Target
I00002,R001,2024-02-01,134325.62,59179.850000000006,44.06,0.0,Below Target
I00003,R001,2024-03-01,157088.64,60943.5,38.8,0.0,Below Target
I00004,R001,2024-04-01,158976.64,52066.67,32.75,0.0,Below Target
I00005,R001,2024-05-01,157200.32,65597.24,41.73,0.0,Below Target
I00006,R001,2024-06-01,165100.2,85458.5,51.76,0.0,Below Target
I00007,R001,2024-07-01,159917.44,55734.61,34.85,0.0,Below Target
I00008,R001,2024-08-01,151053.26,46734.53,30.94,0.0,Below Target
I00009,R001,2024-09-01,158424.42,63553.82,40.12,0.0,Below Target
I00010,R001,2024-10-01,154910.28,62134.649999999994,40.11,0.0,Below Target
I00011,R001,2024-11-01,184546.41,64062.74,34.71,0.0,Below Target
I00012,R001,2024-12-01,171148.39,67530.55,39.46,0.0,Below Target
I00013,R001,2025-01-01,141621.58,53313.979999999996,37.65,0.0,Below Target
I00014,R001,2025-02-01,148815.55,41146.26,27.65,0.0,Below Target
I00015,R001,2025-03-01,137885.02,71715.28,52.01,0.0,Below Target
I00016,R001,2025-04-01,141438.98,71403.8,50.48,0.0,Below Target
I00017,R001,2025-05-01,157666.74,76985.06,48.83,0.0,Below Target
I00018,R001,2025-06-01,167161.0,64363.71,38.5,0.0,Below Target
I00019,R001,2025-07-01,164918.2,78900.91,47.84,0.0,Below Target
I00020,R001,2025-08-01,153704.52,68365.36,44.48,0.0,Below Target
I00021,R001,2025-09-01,162593.16,47177.799999999996,29.02,0.0,Below Target
I00022,R001,2025-10-01,177970.52,64045.42,35.99,0.0,Below Target
I00023,R001,2025-11-01,164200.67,59174.05,36.04,0.0,Below Target
I00024,R001,2025-12-01,182169.47,64852.61,35.6,0.0,Below Target
I00025,R002,2024-01-01,140424.17,35448.26,25.24,0.0,Below Target
