month,revenue,units_sold,calls,visits,active_reps,doctors_engaged,sales_growth_pct,rolling_3m_revenue
2024-01-01,4983464.5,8568,1145,625,72,344,,4983464.5
2024-02-01,5174086.71,8677,1091,642,72,339,3.83,5078775.61
2024-03-01,5623576.82,9285,1062,646,72,342,8.69,5260376.01
2024-04-01,5494124.16,9352,1089,636,72,336,-2.3,5430595.9
2024-05-01,5743426.08,9607,1085,647,72,347,4.54,5620375.69
2024-06-01,5788010.01,9829,1054,657,72,345,0.78,5675186.75
2024-07-01,5919900.59,10143,1132,645,72,349,2.28,5817112.23
2024-08-01,6009123.28,10071,1071,635,72,340,1.51,5905677.96
2024-09-01,5694718.37,9544,1078,652,72,337,-5.23,5874580.75
2024-10-01,6194645.01,10468,1076,644,72,347,8.78,5966162.22
2024-11-01,6694378.01,10874,1079,647,72,338,8.07,6194580.46
2024-12-01,6744826.63,11134,1046,646,72,345,0.75,6544616.55
2025-01-01,5217871.0,8683,1076,649,72,347,-22.64,6219025.21
2025-02-01,5303135.74,8796,1069,659,72,346,1.63,5755277.79
2025-03-01,5641442.61,9466,1105,638,72,348,6.38,5387483.12
2025-04-01,5668157.67,9432,1097,636,72,343,0.47,5537578.67
2025-05-01,5728528.4799999995,9735,1045,649,72,333,1.07,5679376.25
2025-06-01,6083052.97,10137,1083,648,72,340,6.19,5826579.71
2025-07-01,6013458.09,10198,1085,653,72,347,-1.14,5941679.85
2025-08-01,6118760.43,10025,1122,653,72,347,1.75,6071757.16
2025-09-01,5494356.76,9470,1074,632,72,351,-10.2,5875525.09
2025-10-01,6297122.69,10652,1115,640,72,346,14.61,5970079.96
2025-11-01,6343864.74,10767,1082,648,72,349,0.74,6045114.73
2025-12-01,6821547.8,11346,1086,654,72,355,7.53,6487511.74
