sale_id,activity_id,rep_id,doctor_id,product_id,sale_date,month,territory,region,units_sold,revenue
S00001,C00001,R060,D0804,P001,2024-01-27,2024-01-01,Goa,West,19,14949.67
S00002,C00002,R061,D0030,P006,2024-01-26,2024-01-01,Bengaluru,South,32,17840.44
S00003,C00003,R071,D0055,P003,2024-01-24,2024-01-01,Ranchi,East,23,15655.3
S00004,C00004,R040,D0674,P007,2024-01-07,2024-01-01,Kochi,South,28,16509.18
S00005,C00005,R016,D0331,P002,2024-01-17,2024-01-01,Kochi,South,12,6518.52
S00006,C00006,R044,D0099,P008,2024-01-22,2024-01-01,Bhubaneswar,East,19,6313.86
S00007,C00007,R007,D0543,P006,2024-01-14,2024-01-01,Mumbai,West,19,10100.19
S00008,C00008,R046,D0102,P002,2024-01-06,2024-01-01,Guwahati,East,8,4216.4
S00009,C00009,R009,D0061,P005,2024-01-26,2024-01-01,Ahmedabad,West,18,8132.59
S00010,C00010,R053,D0382,P008,2024-01-30,2024-01-01,Ludhiana,North,15,4719.56
S00011,C00011,R010,D0409,P001,2024-01-06,2024-01-01,Surat,West,21,16218.15
S00012,C00012,R020,D0546,P007,2024-01-22,2024-01-01,Bhubaneswar,East,12,7431.77
S00013,C00013,R035,D0530,P004,2024-01-28,2024-01-01,Nagpur,West,30,29220.57
S00014,C00014,R042,D0020,P008,2024-01-17,2024-01-01,Vijayawada,South,22,6891.75
S00015,C00015,R042,D0229,P002,2024-01-02,2024-01-01,Vijayawada,South,20,9914.63
S00016,C00016,R049,D0294,P006,2024-01-22,2024-01-01,North Delhi,North,30,13996.49
S00017,C00017,R061,D0209,P008,2024-01-29,2024-01-01,Bengaluru,South,27,8992.86
S00018,C00018,R026,D0479,P003,2024-01-09,2024-01-01,Chandigarh,North,26,16692.27
S00019,C00019,R062,D0190,P001,2024-01-05,2024-01-01,Chennai,South,25,19762.88
S00020,C00020,R030,D0591,P004,2024-01-08,2024-01-01,Dehradun,North,15,12877.7
S00021,C00021,R069,D0801,P005,2024-01-26,2024-01-01,Patna,East,13,5935.68
S00022,C00022,R044,D0636,P006,2024-01-18,2024-01-01,Bhubaneswar,East,17,8529.09
S00023,C00023,R011,D0390,P004,2024-01-01,2024-01-01,Nagpur,West,17,14610.42
S00024,C00024,R004,D0313,P008,2024-01-19,2024-01-01,Lucknow,North,18,6116.07
S00025,C00025,R011,D0530,P005,2024-01-26,2024-01-01,Nagpur,West,29,14213.69
S00026,C00026,R069,D0548,P006,2024-01-06,2024-01-01,Patna,East,9,4736.83
S00027,C00027,R025,D0259,P008,2024-01-19,2024-01-01,North Delhi,North,9,3174.32
S00028,C00028,R034,D0038,P008,2024-01-08,2024-01-01,Surat,West,12,3587.41
S00029,C00029,R059,D0593,P003,2024-01-01,2024-01-01,Nagpur,West,13,8489.5
S00030,C00030,R040,D0535,P003,2024-01-13,2024-01-01,Kochi,South,18,11672.6
S00031,C00031,R067,D0041,P006,2024-01-25,2024-01-01,Kolkata,East,10,5280.89
S00032,C00032,R066,D0437,P005,2024-01-21,2024-01-01,Vijayawada,South,15,6465.09
S00033,C00033,R068,D0099,P004,2024-01-04,2024-01-01,Bhubaneswar,East,20,18394.01
S00034,C00034,R025,D0609,P006,2024-01-06,2024-01-01,North Delhi,North,36,17035.37
S00035,C00035,R050,D0689,P006,2024-01-17,2024-01-01,Chandigarh,North,12,6348.85
S00036,C00036,R032,D0106,P008,2024-01-10,2024-01-01,Pune,West,7,2369.35
S00037,C00037,R071,D0578,P003,2024-01-11,2024-01-01,Ranchi,East,9,5603.82
S00038,C00038,R037,D0070,P007,2024-01-14,2024-01-01,Bengaluru,South,50,29940.08
S00039,C00039,R060,D0164,P002,2024-01-24,2024-01-01,Goa,West,39,22313.32
